year_film,year_ceremony,ceremony,category,film,Best_Pic_Winner,imdb_title_id,genre,duration,country,language,writer,production_company,actors,description,first_director,Director,director_id,Dir_Cum_Films,Producer,count_of_film_nominations,nominated_for_best_director,best_directing_win,first_dir,best_directing_nomination_sum,best_directing_win_sum,prior_best_directing_nominations,prior_best_directing_wins,running_best_picture_nomination,Globes_Best_Dir_Winner,Globes_Best_Pic_Winner,bafta,cannes,DGA_Winner,Drama,Adventure,War,Musical,Sci-Fi,Thriller,Romance,Animation,Film-Noir,Horror,Mystery,Music,Action,Crime,Family,Fantasy,Sport,Biography,Comedy,History,Western
1931,1932,5,OUTSTANDING PRODUCTION,THE CHAMP,FALSE,tt0021730,"Drama, Sport",86,USA,English,"Frances Marion, Wanda Tuchock",Metro-Goldwyn-Mayer (MGM),"Wallace Beery, Jackie Cooper, Irene Rich, Roscoe Ates, Edward Brophy, Hale Hamilton, Jesse Scott, Marcia Mae Jones",An alcoholic ex-boxer struggles to provide a good living for his son.,King Vidor,King Vidor,nm0896542,48,Yes,4,1,FALSE,King Vidor,3,0,2,0,1,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1931,1932,5,OUTSTANDING PRODUCTION,FIVE STAR FINAL,FALSE,tt0021873,"Crime, Drama",89,USA,English,"Louis Weitzenkorn, Byron Morgan",First National Pictures,"Edward G. Robinson, Marian Marsh, H.B. Warner, Anthony Bushell, George E. Stone, Frances Starr, Ona Munson, Boris Karloff, Aline MacMahon, Oscar Apfel, Purnell Pratt, Robert Elliott",The City Editor of a sleazy tabloid goes against his own journalistic ethics to resurrect a twenty year old murder case... with tragic results.,Mervyn LeRoy,Mervyn LeRoy,nm0503777,19,No,1,0,0,Mervyn LeRoy,0,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1932,1932,5,OUTSTANDING PRODUCTION,GRAND HOTEL,TRUE,tt0022958,"Drama, Romance",112,USA,"English, Russian","Vicki Baum, William Absalom Drake",Metro-Goldwyn-Mayer (MGM),"Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery, Lionel Barrymore, Lewis Stone, Jean Hersholt, Robert McWade, Purnell Pratt, Ferdinand Gottschalk, Rafaela Ottiano, Morgan Wallace, Tully Marshall, Frank Conroy, Murray Kinnell",A group of very different individuals staying at a luxurious hotel in Berlin deal with each of their respective dramas.,Edmund Goulding,Edmund Goulding,nm0332539,13,No,1,0,0,Edmund Goulding,0,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,1932,5,OUTSTANDING PRODUCTION,ONE HOUR WITH YOU,FALSE,tt0023303,"Comedy, Musical, Romance",78,USA,"English, French","Lothar Schmidt, Samson Raphaelson",Paramount Pictures,"Maurice Chevalier, Jeanette MacDonald, Lili Damita, Genevieve Tobin, Pierre Etchepare, Charles Ruggles, Ernest Ferny, Roland Young, André Cheron, Josephine Dunn, Richard Carle, Barbara Leonard, George Barbier",An unhappily married couple try to come between a happy one.,George Cukor,George Cukor,nm0002030,9,Yes,1,0,0,George Cukor,0,0,0,0,1,x,x,x,x,x,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1932,1932,5,OUTSTANDING PRODUCTION,SHANGHAI EXPRESS,FALSE,tt0023458,"Adventure, Drama, Romance",82,USA,"English, French, Cantonese, German","Jules Furthman, Harry Hervey",Paramount Pictures,"Marlene Dietrich, Clive Brook, Anna May Wong, Warner Oland, Eugene Pallette, Lawrence Grant, Louise Closser Hale, Gustav von Seyffertitz, Emile Chautard",A loose woman rediscovers a former lover during a dangerous train ride to Shanghai.,Josef von Sternberg,Josef von Sternberg,nm0903049,18,No,3,1,FALSE,Josef von Sternberg,0,0,0,0,1,x,x,x,x,x,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,1932,5,OUTSTANDING PRODUCTION,THE SMILING LIEUTENANT,FALSE,tt0022074,"Comedy, Romance, Musical",93,USA,"English, French","Leopold Jacobson, Felix Dormann",Paramount Pictures,"Maurice Chevalier, Claudette Colbert, Miriam Hopkins, Charles Ruggles, George Barbier, Hugh O'Connell","An amorous lieutenant is forced to marry a socially awkward princess, though he tries to keep his violin-playing girlfriend on the side.",Ernst Lubitsch,Ernst Lubitsch,nm0523932,57,Yes,1,0,0,Ernst Lubitsch,2,0,2,0,3,x,x,x,x,x,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1933,1933,6,OUTSTANDING PRODUCTION,CAVALCADE,TRUE,tt0023876,"Drama, Romance, War",112,USA,English,Reginald Berkeley,Fox Film Corporation,"Diana Wynyard, Clive Brook, Una O'Connor, Herbert Mundin, Beryl Mercer, Irene Browne, Tempe Pigott, Merle Tottenham, Frank Lawton, Ursula Jeans, Margaret Lindsay, John Warburton, Billy Bevan, Desmond Roberts, Dickie Henderson","The triumphs and tragedies of two English families, the upper-crust Marryots and the working-class Bridges, from 1899 to 1933 are portrayed.",Frank Lloyd,Frank Lloyd,nm0515979,119,Yes,4,1,TRUE,Frank Lloyd,2,2,1,1,2,x,x,x,x,x,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,1933,6,OUTSTANDING PRODUCTION,A FAREWELL TO ARMS,FALSE,tt0022879,"Drama, Romance, War",80,USA,English,"Benjamin Glazer, Oliver H.P. Garrett",Paramount Pictures,"Helen Hayes, Gary Cooper, Adolphe Menjou, Mary Philips, Jack La Rue, Blanche Friderici, Mary Forbes, Gilbert Emery",An American ambulance driver and an English nurse fall in love in Italy during World War I.,Frank Borzage,Frank Borzage,nm0097648,70,Yes,4,0,0,Frank Borzage,2,2,2,2,3,x,x,x,x,x,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,1933,6,OUTSTANDING PRODUCTION,42ND STREET,FALSE,tt0024034,"Comedy, Musical, Romance",89,USA,English,"Rian James, James Seymour",Warner Bros.,"Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler, Guy Kibbee, Una Merkel, Ginger Rogers, Ned Sparks, Dick Powell, Allen Jenkins, Edward J. Nugent, Robert McWade, George E. Stone","A director puts on what may be his last Broadway show and, at the last moment, a naive newcomer has to replace the star.",Lloyd Bacon,Lloyd Bacon,nm0045800,69,No,2,0,0,Lloyd Bacon,0,0,0,0,1,x,x,x,x,x,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1932,1933,6,OUTSTANDING PRODUCTION,I AM A FUGITIVE FROM A CHAIN GANG,FALSE,tt0023042,"Crime, Drama, Film-Noir",92,USA,English,"Robert E. Burns, Howard J. Green",Warner Bros.,"Paul Muni, Glenda Farrell, Helen Vinson, Noel Francis, Preston Foster, Allen Jenkins, Berton Churchill, Edward Ellis, David Landau, Hale Hamilton, Sally Blane, Louise Carter, Willard Robertson, Robert McWade, Robert Warwick","Wrongly convicted James Allen serves in the intolerable conditions of a southern chain gang, which later comes back to haunt him.",Mervyn LeRoy,Mervyn LeRoy,nm0503777,25,No,3,0,0,Mervyn LeRoy,0,0,0,0,2,x,x,x,x,x,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1933,1933,6,OUTSTANDING PRODUCTION,LADY FOR A DAY,FALSE,tt0024240,"Comedy, Drama",96,USA,"English, Spanish","Robert Riskin, Damon Runyon",Columbia Pictures,"Warren William, May Robson, Guy Kibbee, Glenda Farrell, Ned Sparks, Walter Connolly, Jean Parker, Nat Pendleton, Barry Norton, Halliwell Hobbes, Hobart Bosworth, Robert Emmett O'Connor","A gangster tries to make Apple Annie, the Times Square apple seller, a lady for a day.",Frank Capra,Frank Capra,nm0001008,28,No,4,1,FALSE,Frank Capra,1,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1933,1933,6,OUTSTANDING PRODUCTION,LITTLE WOMEN,FALSE,tt0024264,"Drama, Family, Romance",115,USA,"English, German","Louisa May Alcott, Sarah Y. Mason",RKO Radio Pictures,"Katharine Hepburn, Joan Bennett, Paul Lukas, Edna May Oliver, Jean Parker, Frances Dee, Henry Stephenson, Douglass Montgomery, John Lodge, Spring Byington, Samuel S. Hinds, Mabel Colcord, Marion Ballou, Nydia Westman, Harry Beresford",A chronicle of the lives of a group of sisters growing up in nineteenth-century America.,George Cukor,George Cukor,nm0002030,12,No,3,1,FALSE,George Cukor,1,0,0,0,2,x,x,x,x,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1933,1933,6,OUTSTANDING PRODUCTION,THE PRIVATE LIFE OF HENRY VIII.,FALSE,tt0024473,"Biography, Comedy, Drama",97,UK,"English, German","Lajos Biró, Arthur Wimperis",London Film Productions,"Charles Laughton, Robert Donat, Franklin Dyall, Miles Mander, Lawrence Hanray, William Austin, John Loder, Claud Allister, Gibb McLaughlin, Sam Livesey, Merle Oberon, Wendy Barrie, Elsa Lanchester, Binnie Barnes, Everley Gregg",King Henry VIII marries five more times after his divorce from his first wife Catherine of Aragon.,Alexander Korda,Alexander Korda,nm0466099,59,Yes,2,0,0,Alexander Korda,0,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1933,1933,6,OUTSTANDING PRODUCTION,SHE DONE HIM WRONG,FALSE,tt0024548,"Comedy, Drama, History",66,USA,English,"Mae West, Harvey F. Thew",Paramount Pictures,"Mae West, Cary Grant, Owen Moore, Gilbert Roland, Noah Beery, David Landau, Rafaela Ottiano, Dewey Robinson, Rochelle Hudson, Tammany Young, Fuzzy Knight, Grace La Rue, Robert Homans, Louise Beavers","In the Gay Nineties, a seductive nightclub singer contends with several suitors, including a jealous escaped convict and a handsome temperance league member.",Lowell Sherman,Lowell Sherman,nm0792514,12,No,1,0,0,Lowell Sherman,0,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1932,1933,6,OUTSTANDING PRODUCTION,SMILIN' THROUGH,FALSE,tt0023488,"Drama, Romance",98,USA,English,"Jane Cowl, Jane Murfin",Metro-Goldwyn-Mayer (MGM),"Norma Shearer, Fredric March, Leslie Howard, O.P. Heggie, Ralph Forbes, Beryl Mercer, Margaret Seddon, Forrester Harvey",The adoptive father of a young woman is horrified to learn she plans to marry the son of the man who accidentally killed her aunt years before.,Sidney Franklin,Sidney Franklin,nm0291548,65,No,1,0,0,Sidney Franklin,0,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,1933,6,OUTSTANDING PRODUCTION,STATE FAIR,FALSE,tt0024610,"Comedy, Drama, Romance",99,USA,English,"Sonya Levien, Paul Green",Fox Film Corporation,"Janet Gaynor, Will Rogers, Lew Ayres, Sally Eilers, Norman Foster, Louise Dresser, Frank Craven, Victor Jory, Frank Melton","An Iowa family finds adventure, love, and heartbreak, when they spend a week at the state fair.",Henry King,Henry King,nm0454771,75,No,2,0,0,Henry King,0,0,0,0,1,x,x,x,x,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1934,1935,7,OUTSTANDING PRODUCTION,THE BARRETTS OF WIMPOLE STREET,FALSE,tt0024865,"Biography, Drama, Romance",109,USA,English,"Rudolph Besier, Ernest Vajda",Metro-Goldwyn-Mayer (MGM),"Norma Shearer, Fredric March, Charles Laughton, Maureen O'Sullivan, Katharine Alexander, Ralph Forbes, Marion Clayton Anderson, Ian Wolfe, Ferdinand Munier, Una O'Connor, Leo G. Carroll, Vernon Downing, Neville Clark, Matthew Smith, Robert Carleton","Elizabeth Barrett's tyrannical father has forbidden any of his family to marry. Nevertheless, Elizabeth falls in love with the poet Robert Browning.",Sidney Franklin,Sidney Franklin,nm0291548,67,No,2,0,0,Sidney Franklin,0,0,0,0,2,x,x,x,x,x,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
